Date;Begin;;Maximum;;End;;Duration;Definition;Transmitter
;Time [UT];Qualifier;Time [UT];Qualifier;Time [UT];Qualifier;;;
2017-08-27;15:14;;15:21;;15:52;;38m;5;DHO 23.4
2017-08-27;15:14;;15:21;;15:52;;38m;5;GQD 22.1
2017-08-25;7:24;;7:33;;8:40;;1h 16m;5;DHO 23.4
2017-08-25;7:24;;7:33;;8:40;;1h 16m;5;GQD 22.1
2017-08-23;13:28;;13:44;;14:24;;56m;4;DHO 23.4
2017-08-23;13:28;;13:44;;14:24;;56m;5;GQD 22.1
2017-08-19;10:58;;11:05;;12:09;;1h 11m;4;DHO 23.4
2017-08-19;10:58;;11:05;;12:09;;1h 11m;4;ICV 20.3
2017-08-19;10:58;;11:05;;12:09;;1h 11m;4;GQD 22.1
2017-08-14;10:41;;10:51;;11:41;;1h;3;DHO 23.4
2017-07-31;9:06;;9:15;;10:14;;1h 8m;3;DHO 23.4
2017-07-09;11:50;;12:10;;13:36;;1h 46m;5;DHO 23.4
2017-07-09;11:50;;12:10;;13:36;;1h 46m;5;GQD 22.1
2017-07-09;11:50;;12:10;;13:36;;1h 46m;5;ICV 20.3
2017-07-09;8:54;;9:14;;10:23;;1h 29m;5;DHO 23.4
2017-07-09;8:54;;9:14;;10:23;;1h 29m;5;GQD 22.1
2017-07-09;8:54;;9:14;;10:23;;1h 29m;5;ICV 20.3
2017-07-09;7:26;;7:38;;7:56;;30m;3;DHO 23.4
2017-07-08;15:16;;15:23;;15:48;;32m;3;ICV 20.3
2017.07-03;16:12;;16:18;;17:17;;1h 5m;5;DHO 23.4
2017.07-03;16:12;;16:18;;17:17;;1h 5m;5;GQD 22.1
2017.07-03;16:12;;16:18;;17:17;;1h 5m;5;ICV 20.3
2017-06-07;10:04;;10:16;;10:56;;52m;5;GQD 22.1
2017-06-07;10:04;;10:16;;10:56;;52m;5;DHO 23.4
2017-06-03;14:53;;14:59;;15:28;;35m;5;GQD 22.1
2017-06-03;14:53;;14:59;;15:28;;35m;5;DHO 23.4
2017-06-03;9:54;;9:57;;10:49;;55m;5;DHO 23.4
2017-06-03;9:54;;9:57;;10:49;;55m;5;GQD 22.1
2017-06-01;9:23;;9:26;;9:56;;33m;4;DHO 23.4
2017-06-01;9:23;;9:26;;9:56;;33m;4;GQD 22.1
2017-05-01;11:16;;11:21;;11:36;;20m;3;GQD 22.1
2017-05-01;10:33;;10:46;;10:59;;26m;3;GQD 22.1
2017-04-18;9:35;;9:50;;10:28;;53m;4;ICV 20.3
