#;Date and Time [UT];Location;Telescope;F [mm];d [mm];Eyepiece;f [mm];N;Magnification;Groups [#];;;Spots [#];;;Wolf Number;Quality
;;;;;;;;;;N;S;Σ;N;S;Σ;;
44;10.03.2016 11:35;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;4;1;5;14;1;15;65;Good
43;09.03.2016 11:35;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;5;0;5;24;0;24;74;Good
42;05.11.2015 11:45;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;2;1;3;60;2;62;92;Fair
41;28.10.2015 12:33;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;3;2;5;21;8;29;79;Fair
40;20.10.2015 11:25;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;1;3;4;34;36;70;110;Good
39;19.10.2015 12:03;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;1;4;5;24;28;52;102;Good
38;09.10.2015 11:43;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;0;2;2;0;7;7;27;Fair
37;01.10.2015 12:50;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;3;1;4;23;19;42;82;Fair
36;30.09.2015 11:35;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;3;1;4;26;44;70;110;Good
35;29.09.2015 12:20;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;3;2;5;40;37;77;127;Good
34;25.09.2015 12:50;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;3;5;8;35;46;81;161;Fair
33;24.09.2015 15:05;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;4;2;6;50;4;54;114;Good
32;21.09.2015 12:04;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;0;3;3;0;37;37;67;Good
31;16.09.2015 15:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;1;3;4;9;33;42;82;Fair
30;12.09.2015 13:17;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;2;2;4;3;34;37;77;Good
29;04.09.2015 11:05;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;0;2;2;0;5;5;25;Good
28;31.08.2015 11:04;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;1;1;2;10;6;16;36;Good
27;29.08.2015 00:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;2;0;2;0;17;17;37;Fair
26;28.08.2015 11:29;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;2;0;2;0;24;24;44;Fair
25;27.08.2015 11:10;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;2;0;2;0;55;55;75;Good
24;26.08.2015 12:06;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;2;0;2;0;45;45;65;Good
23;21.08.2015 12:25;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;2;0;2;0;34;34;54;Good
22;23.09.2014 12:15;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;5;;;34;84;Good
21;16.09.2014 12:45;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;6;;;30;90;Good
20;06,08.2014 10:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;5;;;64;114;Fair
19;02.04.2014 11:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;10;;;72;172;Excellent
18;13.03.2014 11:30;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;8;;;51;131;Good
17;12.03.2014 13:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;10;;;59;159;Good
16;10.03.2014 11:30;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;6;;;65;125;Good
15;07.03.2014 12:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;8;;;62;142;Good
14;24.02.2014 12:30;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;10;;;81;181;Good
13;20.02.2013 11:30;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;12;;;73;193;Good
12;17.02.2014 11:30;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;8;;;67;147;Good
11;06.02.2014 11:30;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;11;;;88;198;Good
10;31.01.2014 11:15;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;5;;;51;101;Good
9;29.01.2014 12:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;7;;;43;113;Good
8;28.01.2014 12:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;6;;;29;89;Good
7;26.01.2014 14:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;5;;;10;60;Poor
6;25.01.2014 13:00;LS22;Meade 102ACHR/500 red 70;920;70;K9;9,0;13;102;;;6;;;25;85;Good
5;15.01.2014 13:00;LS22;Meade 102ACHR/500 red 70;920;70;K12.5;12,5;13;74;;;8;;;24;104;Fair
4;09.01.2014 13:00;LS22;Meade 102ACHR/500 red 70;920;70;K12.5;12,5;13;74;;;4;;;23;63;Poor
3;08.01.2014 13:30;LS22;Meade 102ACHR/500;920;102;TSWA 20;20,0;9;46;;;4;;;45;85;Fair
2;07.01.2014 14:00;LS22;Meade 102ACHR/500;920;102;Pentax 20;20,0;9;46;;;3;;;28;58;Fair
1;06.01.2014 13:00;LS22;Meade 102ACHR/500;920;102;Pentax 20;20,0;9;46;;;7;;;42;112;Fair
